area_type,availability,location,size,total_sqft,bath,balcony,price,Distance_to_nearest_MRT_station_m
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1880,3,3,120,1664.32
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1150,2,2,45,7810.98
Plot  Area,18-May,Kasavanhalli,4 BHK,4408,4,2,344,3670.28
Super built-up  Area,Ready To Move,Bellandur,2 BHK,924,2,2,35.11,1907.09
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,7800,6,2,385,1482.17
Plot  Area,Ready To Move,Kumaraswami Layout,6 BHK,600,6,3,100,5546.08
Plot  Area,18-Feb,Pattanagere,4 BHK,750,4,1,95,8295.77
Built-up  Area,Ready To Move,Karuna Nagar,3 BHK,1962,3,2,175,4801.56
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 BHK,1200,4,3,240,7854.57
Super built-up  Area,18-Nov,B Narayanapura,3 BHK,1765,3,2,77.27,3277.98
Super built-up  Area,Ready To Move,Attibele,2 BHK,1174,2,1,29.35,6518.22
Super built-up  Area,19-Jun,Bannerghatta Road,3 BHK,1894,3,1,115,1337.81
Plot  Area,Ready To Move,Ramamurthy Nagar,4 BHK,960,2,2,138,1564.03
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,1760,3,2,142,4548.66
Built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,1768,3,3,95,7739.52
Built-up  Area,Ready To Move,Kothanur,3 BHK,1790,3,0,97,3544.48
Plot  Area,17-Jul,Kumara Park,4 BHK,3500,5,1,800,6312.49
Plot  Area,18-Dec,Whitefield,2 BHK,1200,2,1,45,1541.27
Built-up  Area,Ready To Move,Kengeri,4 BHK,2540,4,0,160,1347.59
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1137,2,1,53.4,9258.64
Super built-up  Area,22-May,Jakkur,4 BHK,3181,2,2,229,6485.08
Plot  Area,Ready To Move,Guni Agrahara,7 BHK,1200,6,2,115,8892.66
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1568,2,2,100,1761.62
Built-up  Area,Ready To Move,Devanahalli,4 BHK,4920,4,0,393.5,5231.51
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1308,2,1,60,4610.59
Super built-up  Area,19-Aug,Shankarapuram,4 BHK,3060,4,2,350,5842.57
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1200,2,1,41,3652.43
Super built-up  Area,Ready To Move,Shetty Halli,1 BHK,800,1,2,32,4593.43
Super built-up  Area,19-Dec,Electronic City,1 BHK,530,1,1,13.5,1429.32
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,873,2,1,40,3612.19
Plot  Area,Ready To Move,AGB Layout,7 BHK,3000,6,3,145,5474.34
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 BHK,1200,4,1,235,7495.47
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,958,2,1,33.53,4719.42
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4,2,160,3764.96
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,2273,3,3,159,8560.69
Plot  Area,18-May,Banashankari Stage VI,3 BHK,600,3,2,90,3692.78
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,760,1,2,50,1125.66
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1090,2,2,43.5,6565.33
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4,2,155,5425.29
Super built-up  Area,Ready To Move,Bellandur,3 BHK,2666,3,1,230,1967.65
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1550,2,1,89,1975.68
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,1251,2,1,50,2536.55
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,53,849.17
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,2,45,7935.44
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1435,2,2,60,1341.18
Built-up  Area,Ready To Move,Bommasandra,3 BHK,1400,2,3,45,3705.27
Super built-up  Area,Ready To Move,Judicial Layout,4 BHK,2330,3,2,94.71,7952.66
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1200,2,3,60,837.41
Super built-up  Area,Ready To Move,Panathur,2 BHK,1000,2,2,40,6610.59
Super built-up  Area,18-Sep,Bannerghatta Road,3 BHK,1655,2,2,62.89,966.38
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,9 BHK,3600,9,3,240,2254.62
Plot  Area,Ready To Move,Bidrahalli,1 BHK,600,1,1,35,4229.71
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1175,2,1,50,1952.32
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1155,2,2,40.43,1631.8
Plot  Area,Ready To Move,Magadi Road,3 BHK,1200,3,2,98,8609.6
Super built-up  Area,Ready To Move,Budigere,2 BHK,1149,2,2,65,5192.9
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1745,2,2,98.485,5354.19
Plot  Area,Ready To Move,Choodasandra,4 BHK,3200,4,2,375,4703.45
Super built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,1010,2,2,55,6364.54
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1718,3,2,119,6862.8
Super built-up  Area,Ready To Move,Bilal Nagar,2 BHK,650,1,1,20,7422.42
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1330,2,2,77,428.56
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1200,2,2,68,9640.58
Super built-up  Area,21-Dec,Bannerghatta Road,3 BHK,1693,3,2,89,1003.71
Super built-up  Area,19-Dec,Koramangala,2 BHK,1249,2,1,165,782.83
Built-up  Area,Ready To Move,Thanisandra,3 BHK,1800,4,1,125,817.83
Plot  Area,Ready To Move,Margondanahalli,2 BHK,900,2,0,55,6367.88
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020,2,1,46,5333.57
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,1700,3,2,77,6143.86
Built-up  Area,18-Jun,Panathur,1 BHK,661,1,1,40,5711.99
Super built-up  Area,17-Sep,Bannerghatta Road,2 BHK,1280,2,2,60.16,1322.71
Plot  Area,Ready To Move,Krishna Nagar,5 BHK,1000,4,2,90,5903.93
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1170,2,1,48,8129.06
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,933,2,1,58,1623.05
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1150,2,0,44,1799.93
Super built-up  Area,Ready To Move,Benson Town,4 BHK,3633,6,2,550,2499.92
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1380,3,3,130,604.76
Built-up  Area,Ready To Move,Banjara Layout,2 BHK,1050,2,1,64.8,7096.36
Super built-up  Area,Ready To Move,Kanakapura Main Road,2 BHK,1080,2,1,37.8,5588.16
Super built-up  Area,Ready To Move,Harlur,2 BHK,1303,2,1,90,1383.27
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1196,2,2,40.54,2627.56
Built-up  Area,Ready To Move,Nagarbhavi,5 BHK,2500,3,2,180,3992.91
Plot  Area,Ready To Move,Sarjapur  Road,5 BHK,1200,4,1,95,1056.56
Super built-up  Area,18-May,Bommanahalli,3 BHK,1250,3,2,41,926.62
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1419,2,3,87,7781.49
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1200,2,3,49,630.36
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1120,2,2,65,3901.21
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,762.5,1,0,45.4,1675.61
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1245,2,1,75,862.46
Built-up  Area,Ready To Move,Palanahalli,4 BHK,3978,4,3,428,9189.72
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1093,2,1,34,6588.03
Super built-up  Area,18-Jul,Electronic City,2 BHK,1025,1,1,26.63,1331.98
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1345,2,1,97,1503.04
Plot  Area,Ready To Move,Suryanagar,2 BHK,1500,2,1,45,9832.55
Super built-up  Area,21-Jun,Vijayanagar,2 BHK,1180,2,1,86,3064.61
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020,2,1,48.45,9337.25
Super built-up  Area,Ready To Move,Nanjappa Layout,3 BHK,1800,3,3,85,3581.27
Super built-up  Area,18-Aug,Konanakunte,4 BHK,3621,4,1,511,4337.36
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,2008,3,2,170,6085.28
Super built-up  Area,18-Jun,Kothannur,3 BHK,1240,2,2,39.85,7093.3
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1020,2,1,55,1779.47
Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,3 BHK,2095,3,2,142,9917.83
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1362,3,2,62.63,2777.7
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,694,1,0,30.84,856.9
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2,2,70,8608.2
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1192,2,3,47,1525.26
Plot  Area,Ready To Move,Mahalakshmi Layout,4 BHK,1050,1,0,35,2989.66
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1259,2,1,67.48,8196.17
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1000,2,2,34,1724.49
Super built-up  Area,20-Dec,Rachenahalli,2 BHK,985,2,1,49.97,5498.86
Built-up  Area,Ready To Move,Indira Nagar,1 BHK,850,1,2,60,5136.5
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1650,2,1,50,1968.49
Plot  Area,Ready To Move,Rajaji Nagar,5 BHK,2400,3,1,320,631.68
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1900,4,1,180,1289.89
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,1367,2,2,86,4963.24
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1210,2,2,81,665.55
Super built-up  Area,Ready To Move,Duvasapalya,2 BHK,1190,2,1,48.6,4695.28
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1175,2,2,42,1006.05
Super built-up  Area,Ready To Move,R.T. Nagar,4 BHK,2800,4,2,400,6708.84
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2,2,40,1147.98
Super built-up  Area,Ready To Move,Hoskote,2 BHK,1095,2,2,33.6,5886.72
Super built-up  Area,Ready To Move,Attibele,1 BHK,782,1,0,19.55,4353.82
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1435,2,2,80,7584.59
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,725,2,2,36,4849.89
Built-up  Area,Ready To Move,BCMC Layout,3 BHK,1600,2,2,88,3001.7
Plot  Area,Ready To Move,9th Phase JP Nagar,5 BHK,1200,5,2,160,3888.55
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205,4,2,300,9535.31
Plot  Area,Ready To Move,Vishwapriya Layout,4 BHK,720,3,1,95,9071.48
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,1674,3,2,90,4635.26
Plot  Area,Ready To Move,Jnanabharathi Layout,4 BHK,860,4,2,125,8448.6
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2,2,46,1530.29
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,1703,3,2,130,1965.09
Super built-up  Area,18-May,Padmanabhanagar,3 BHK,1350,3,1,71.55,5615.24
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1145,2,1,41.21,7770.22
Super built-up  Area,18-Apr,Whitefield,2 BHK,1216,2,1,75,876.24
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,3,1,60,2792.49
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,2425,5,1,201,1956.58
Plot  Area,Ready To Move,Kothanur,4 BHK,2700,4,2,175,3077.96
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1196,2,2,40.54,2575.76
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,1600,3,3,90,944.33
Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,1510,3,3,47.57,7924.7
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3033,4,1,326,7513.99
Plot  Area,Ready To Move,Pai Layout,2 BHK,780,2,1,72,5617.57
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194,2,2,47,1941.13
Built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,1250,2,2,110,3155.42
Plot  Area,Ready To Move,Sarjapur  Road,5 BHK,1480,4,1,169,1164.47
Plot  Area,Ready To Move,Horamavu Agara,4 BHK,1250,4,1,100,9447.49
Plot  Area,Ready To Move,Udaya Nagar,4 BHK,1350,4,2,160,5246.55
Built-up  Area,Ready To Move,Laggere,1 BHK,620,2,0,48,4765.77
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1630,3,2,60.65,3068.44
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1020,2,0,45,8766.61
Super built-up  Area,18-Aug,Hosakerehalli,3 BHK,1410,2,2,53.58,3722.03
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,1181.7,2,1,100,3886.04
Plot  Area,Ready To Move,9th Block Jayanagar,9 BHK,1200,8,3,270,8565.51
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691,3,2,113,1017.5
Built-up  Area,Ready To Move,KR Puram,4 BHK,1200,4,0,83,1654.41
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1200,2,3,60,1261.95
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1050,2,2,50,1282.75
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1300,3,2,77.99,8483.03
Super built-up  Area,21-Dec,Whitefield,2 BHK,1356,2,1,94.84,1955.34
Super built-up  Area,20-Dec,Whitefield,2 BHK,1338,2,1,103,951.99
Super built-up  Area,Ready To Move,Kengeri Satellite Town Stage II,1 BHK,500,1,1,20,5944.41
Super built-up  Area,18-Aug,Vasantha Vallabha Nagar,3 BHK,1280,2,1,100,6366.59
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1531,3,3,51.77,2752.62
Super built-up  Area,18-May,Church Street,4 BHK,11000,4,1,1600,5542.32
Built-up  Area,Ready To Move,Anekal,2 BHK,620,1,1,23.5,4156.81
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1605,2,2,65,7798.77
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1917,3,2,110,1323.46
Plot  Area,Ready To Move,Nagarbhavi,4 BHK,1200,3,1,340,4363.56
Super built-up  Area,Ready To Move,Srinivas Colony,3 BHK,2750,3,2,943,8712.23
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1400,3,2,55,1763.07
Built-up  Area,Ready To Move,Thubarahalli,3 BHK,2625,3,3,175,6404.74
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1100,2,1,55,5089.15
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2041,3,3,128,7466.65
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2070,4,2,160,1145.78
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1110,3,3,59,1083.21
Built-up  Area,Ready To Move,Uday Nagar,3 BHK,1650,3,1,110,8113.6
Plot  Area,18-Dec,Ambedkar Nagar,4 BHK,3565,4,3,255,3282.28
Super built-up  Area,19-Dec,Varthur Road,3 BHK,1033,2,2,30.47,3663.38
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1142,2,2,65,808.15
Super built-up  Area,Ready To Move,Mathikere,3 BHK,1500,2,2,75,376.47
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1502,3,3,50,882.79
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,3 BHK,1176,2,1,45,9970.62
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,32.8,5021.67
Built-up  Area,Ready To Move,Kammanahalli,2 BHK,1100,2,1,60,979.12
Plot  Area,Ready To Move,Kamakshipalya,2 BHK,1044,2,2,85,4686.97
Plot  Area,Ready To Move,Sarjapur  Road,3 BHK,5400,3,2,700,1923.35
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1216,2,2,60,6641.12
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1425,3,2,55,5553.73
Plot  Area,Ready To Move,Hongasandra,8 BHK,1200,8,2,150,1848.07
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1345,2,2,108,5764.93
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1248,2,1,130,1202.01
Plot  Area,Ready To Move,Chaitanya Ananya,4 BHK,1830,4,2,325,4450.98
Built-up  Area,Ready To Move,Shankarapuram,2 BHK,900,1,0,130,5644.58
Built-up  Area,Ready To Move,Bellandur,4 BHK,3600,4,2,245,1180.02
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1025,2,1,35.88,1612.76
Plot  Area,Ready To Move,Nagashetty Halli,2 BHK,840,1,1,99,5027.08
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,3050,2,2,90,3154.4
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,1424,2,2,75,4197.68
Built-up  Area,Ready To Move,EPIP Zone,3 BHK,2500,3,1,268,4339.02
Plot  Area,Ready To Move,ISRO Layout,6 BHK,1200,6,2,230,5851.84
Super built-up  Area,18-Aug,Byrasandra Extension,2 BHK,1285,2,2,45,9558.64
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,1450,2,1,55.99,5640.76
Super built-up  Area,18-May,Raja Rajeshwari Nagar,2 BHK,1160,2,1,70,3328.15
Plot  Area,Ready To Move,Yelahanka New Town,3 BHK,2700,3,0,350,2510.17
Plot  Area,18-Apr,Gattahalli,3 BHK,2000,2,2,95,3889.24
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1125,2,1,47.65,870.24
Built-up  Area,Ready To Move,Old Madras Road,4 BHK,3900,4,2,175,5137.89
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1133,2,1,38.37,2315.32
Super built-up  Area,Ready To Move,Arekere,2 BHK,1240,2,2,60,1008.81
Super built-up  Area,22-Nov,Devanahalli,3 BHK,1466,3,3,77.59,6282.28
Super built-up  Area,Ready To Move,Outer Ring Road East,4 BHK,3870,4,2,411,3110.87
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,1610,2,2,115,3115.62
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1220,3,2,56,1255.35
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1225,2,2,48,3013.1
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1300,2,1,54,6939.81
Super built-up  Area,19-May,Thanisandra,3 BHK,1996,4,1,123,1176.04
Super built-up  Area,Ready To Move,Mallathahalli,3 BHK,1320,2,2,55,5065.76
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1800,3,2,240,666.7
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,1835,3,3,175,9098.94
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1435,3,2,90,1031.1
Super built-up  Area,Ready To Move,Whitefield,3 BHK,4097,3,2,400,917.14
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,1601,3,3,70,9284.57
Super built-up  Area,Ready To Move,Kadubeesanahalli,2 BHK,1257,2,2,93,5049.69
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3596,5,1,260,6859.22
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1309,2,2,95,5516.8
Plot  Area,Ready To Move,Yeshwanthpur,2 BHK,1362,2,0,100,362.9
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1115,2,1,55,1507.2
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1870,3,2,90,1430.17
Super built-up  Area,18-Nov,manyata park,2 BHK,1322,2,1,61.99,4420.95
Super built-up  Area,Ready To Move,Telecom Layout,3 BHK,1450,2,1,65,6163.08
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1185,2,2,67,698.47
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1790,3,3,120,3180.85
Plot  Area,Ready To Move,Whitefield,3 BHK,3450,4,2,208,916.3
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2,2,52.5,5644.06
Super built-up  Area,Ready To Move,Budigere,1 BHK,693,1,0,27.375,6108.21
Plot  Area,Ready To Move,Sarjapur  Road,4 BHK,5400,4,2,750,1751.24
Super built-up  Area,Ready To Move,Devanahalli,1 BHK,775,1,0,39,5887.35
Built-up  Area,Ready To Move,Hoodi,2 BHK,1000,2,2,48,4068.61
Super built-up  Area,19-Mar,Thanisandra,2 BHK,1183,2,1,77.25,1652.21
Super built-up  Area,20-Dec,Binny Pete,3 BHK,1282,3,2,178,3354.68
Super built-up  Area,Ready To Move,Alur,1 BHK,425,1,1,15,3170.99
Built-up  Area,Ready To Move,Nelamangala,2 BHK,820,2,2,30,5882.23
Super built-up  Area,Ready To Move,Richmond Town,4 BHK,2230,4,2,792,5330.65
Built-up  Area,Ready To Move,Hebbal,2 BHK,1200,2,2,52,1603.29
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,1151,2,2,43.6,2432.27
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1320,2,2,59,1509.05
Carpet  Area,18-Apr,Bikasipura,3 BHK,1450,3,2,68,9392.44
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1270,2,3,50.79,8584.62
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1847,3,2,123,9450.2
Super built-up  Area,18-May,Devanahalli,1 BHK,1020,2,1,49.87,6935.52
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1650,3,2,95,3074.69
Super built-up  Area,Ready To Move,Richmond Town,4 BHK,2380,4,3,242,7359.19
Built-up  Area,Ready To Move,Electronic City,3 BHK,2400,2,2,78,1295.41
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2,2,44,1831.83
Super built-up  Area,18-Aug,Haralur Road,4 BHK,2805,4,3,154,1102.18
Super built-up  Area,18-Jun,Mysore Road,3 BHK,1360,3,0,47.6,1977.24
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1089,2,1,49,1536.45
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1115,2,2,60,1752.24
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,1215,2,1,45,3599.2
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1194,2,1,51,1020.15
Super built-up  Area,18-Dec,Kannamangala,3 BHK,1536,3,1,104,8308.83
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2,2,55.5,826.38
Super built-up  Area,17-Oct,Electronic City,3 BHK,1571,3,2,83,1780.25
Plot  Area,Ready To Move,Virupakshapura,2 BHK,900,1,0,70,3097.64
Super built-up  Area,Ready To Move,Keshava Nagar,2 BHK,1517,2,2,125,7599.83
Super built-up  Area,Ready To Move,Budigere,1 BHK,664,1,1,35.4,5095.28
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,1230,2,1,58,3222.99
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,1340,2,2,72,7872.22
Super built-up  Area,Ready To Move,Attibele,2 BHK,1175,2,1,29.38,5027.43
Plot  Area,Ready To Move,Benson Town,4 BHK,3569,4,1,600,2215.92
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1240,2,2,43.1,883.58
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1470,2,1,44.1,1424.79
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,2,2,29.25,1690.64
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,117,3019.47
Super built-up  Area,Ready To Move,Sri Sai Layout,2 BHK,1000,2,2,35,5957.12
Super built-up  Area,Ready To Move,Gunjur,2 BHK,1071,2,1,51,2796.17
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,1512,3,2,80,3185.13
Built-up  Area,Ready To Move,Frazer Town,4 BHK,3435,2,1,341,5348.9
Super built-up  Area,19-Dec,Thanisandra main road,3 BHK,3144,3,1,455,9832.14
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1190,2,1,60,9114.89
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550,2,3,80,5305.65
Super built-up  Area,21-May,Kanakpura Road,2 BHK,1283,2,2,63.22,1505.35
Built-up  Area,Ready To Move,Mallasandra,2 BHK,1325,2,2,73,8931.08
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1105,2,1,35.36,1329.53
Super built-up  Area,Ready To Move,Banaswadi,3 BHK,1600,3,2,74.5,821.55
Plot  Area,Ready To Move,Devara Jeevanahalli,4 BHK,400,2,2,35,3521.57
Super built-up  Area,18-Apr,Kanakpura Road,2 BHK,800,2,2,41.145,1412.47
Super built-up  Area,Ready To Move,Hennur,2 BHK,1100,2,1,44.55,1963.33
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,2099,3,3,147,7852.47
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1365,2,1,72,335.46
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,1485,3,3,132,4325.53
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1250,2,1,55,8399.26
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290,2,2,56.12,3682.88
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1170,2,1,46.79,1541.23
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1328,2,3,91.06,1573.31
Super built-up  Area,19-Mar,Hennur Road,2 BHK,1232,2,1,87,3198.36
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1180,2,2,88.5,8799.71
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,3,2,66,1745.93
Super built-up  Area,18-May,Nagawara Junction,4 BHK,3602,4,2,280,4813.25
Super built-up  Area,Ready To Move,Nagasandra,4 BHK,2400,4,1,145,7960.74
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1020,2,2,32,1057.83
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1410,2,3,49.34,848.4
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,2159,3,2,120,4407.96
Plot  Area,Immediate Possession,Anekal,2 BHK,1453,2,2,16.5,4535.89
Super built-up  Area,18-Apr,TC Palaya,3 BHK,1200,2,0,66,5364.24
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2,1,57.5,1302.14
Super built-up  Area,18-Sep,Whitefield,2 BHK,1074,2,1,42.79,1410.25
Plot  Area,18-Nov,Suragajakkanahalli,3 BHK,1200,3,2,72,6337.28
Super built-up  Area,18-Apr,Sarjapur,3 BHK,1170,2,2,35.41,1124.81
Super built-up  Area,21-Jun,Tumkur Road,1 BHK,728.5,1,0,31.315,2058.34
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,1660,2,2,100,1526.12
Plot  Area,Ready To Move,Gattigere,5 BHK,900,6,1,95,5770.21
Built-up  Area,Ready To Move,SK Garden,6 BHK,1850,3,0,175,5090.71
Built-up  Area,Ready To Move,Gowdanapalya,1 BHK,510,1,0,34,9068.59
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1601,3,2,95,8227.2
Super built-up  Area,18-Mar,Begur Road,2 BHK,952,2,1,42,1829.32
